Local Traces SL in %                                    
Number of Frames 65                                     
FR= 63 Left Marker Time=0.145000 Right Marker Time=0.896000 ES Time=0.475000                                    
Time (s)            YELLOW             CYAN            GREEN          MAGENTA             BLUE              RED          GLOBAL         ECG : 
0        -6.313548    -8.369792    -13.78488    -12.99468    -6.475045    -7.979408    -9.24215    84
0.037        -6.640418    -8.584552    -13.82986    -13.15603    -6.929023    -8.05153    -9.477689    96
0.053        -6.968901    -8.946539    -14.10924    -13.34131    -7.157912    -7.914494    -9.666765    124
0.07        -7.018497    -9.271953    -14.52929    -13.44449    -7.088929    -7.567555    -9.678149    170
0.087        -6.257525    -9.082786    -14.67576    -13.17895    -6.608495    -6.859869    -9.317715    200
0.103        -4.597762    -8.166212    -14.41604    -12.7464    -5.824655    -5.574843    -8.434447    208
0.12        -2.302164    -6.376642    -13.24843    -11.91473    -4.752308    -3.731273    -6.928709    210
0.137        -0.6355782    -4.209323    -10.37762    -9.586254    -3.262502    -1.839958    -4.805501    170
0.153        -0.00555857    -2.021885    -5.518563    -5.147909    -1.473289    -0.490327    -2.302344    66
0.17        0    0    0    0    0    0    0    0
0.187        -0.1754789    1.359518    3.933839    3.570795    0.7203195    0.07149275    1.598674    118
0.203        -0.1181455    1.924404    5.381979    4.688461    0.4158598    -0.3739206    2.247986    220
0.22        0.2165236    2.08705    5.557723    4.578598    -0.1934195    -0.5805034    2.290854    218
0.237        0.4856025    1.88153    5.043155    4.0846    -0.6010026    -0.1825439    1.96426    192
0.253        0.0652073    0.8189289    3.462374    2.965048    -1.059585    0.1330972    1.157387    172
0.27        -1.107419    -1.201974    0.5473333    0.7224394    -1.882773    0.1490949    -0.2793823    164
0.287        -2.626271    -3.567623    -2.902704    -2.221016    -3.198869    -0.4273502    -2.280884    164
0.303        -4.110443    -5.655805    -6.050673    -5.325283    -5.365483    -2.488361    -4.639096    152
0.32        -5.366662    -7.271635    -8.658388    -8.262958    -8.110947    -5.908683    -7.058673    144
0.336        -6.42498    -8.690311    -11.05716    -10.96436    -10.37587    -8.690774    -9.237276    138
0.353        -7.382227    -10.08516    -13.39675    -13.41883    -11.99076    -10.37158    -11.04783    134
0.37        -8.251166    -11.44215    -15.61032    -15.58815    -13.10434    -11.20438    -12.54911    120
0.386        -9.141363    -12.8188    -17.73608    -17.54269    -14.03575    -11.92047    -13.88173    100
0.403        -10.09234    -14.2156    -20.00283    -19.50208    -14.62026    -12.41048    -15.12497    94
0.42        -11.17886    -15.57543    -22.01603    -21.2812    -15.12276    -12.66007    -16.28057    100
0.436        -12.29146    -16.78501    -23.6518    -22.82173    -15.61904    -12.92914    -17.30921    112
0.453        -13.24478    -17.74649    -24.8764    -24.07917    -16.12289    -13.2926    -18.11323    134
0.47        -13.71869    -18.19437    -25.52376    -24.87782    -16.41589    -13.51275    -18.54472    158
0.486        -13.73899    -17.99601    -25.36635    -25.0392    -16.40239    -13.4709    -18.54133    176
0.503        -13.55519    -17.31088    -24.46744    -24.66308    -16.29418    -13.40718    -18.23051    188
0.52        -13.33739    -16.57846    -23.37868    -24.07607    -16.22537    -13.5054    -17.85811    182
0.536        -13.42895    -16.19843    -22.68266    -23.69079    -16.17662    -13.7086    -17.61798    170
0.553        -13.68111    -16.1457    -22.4529    -23.53798    -16.03559    -13.80111    -17.5402    166
0.57        -13.88842    -16.22634    -22.5492    -23.54026    -15.78751    -13.78645    -17.55822    166
0.586        -13.96079    -16.32814    -22.86347    -23.65273    -15.48191    -13.67503    -17.58017    162
0.603        -13.76552    -16.5111    -23.63377    -23.9314    -14.87802    -12.95797    -17.48105    158
0.62        -13.33429    -16.66771    -24.68481    -24.13953    -13.6827    -11.22875    -17.10936    158
0.636        -12.04294    -16.19039    -25.33121    -24.04907    -12.25692    -9.227054    -16.35699    158
0.653        -10.53008    -15.02159    -24.64948    -23.07159    -11.01292    -7.837091    -15.17776    158
0.67        -9.699171    -13.46867    -21.8855    -20.48989    -9.99707    -7.297957    -13.53273    152
0.686        -9.726677    -11.84388    -17.37893    -16.24869    -8.672889    -6.805405    -11.46254    152
0.703        -9.824906    -10.18396    -12.41819    -11.43944    -7.084976    -6.116646    -9.263286    154
0.72        -9.328788    -8.682124    -8.751597    -7.8027    -5.777768    -5.518037    -7.417216    154
0.736        -8.390908    -7.506971    -6.901657    -5.935826    -5.087939    -5.328987    -6.253096    156
0.753        -7.60116    -6.695377    -6.268192    -5.439379    -5.006454    -5.499963    -5.770727    146
0.77        -7.103339    -6.192409    -6.235655    -5.737712    -5.330531    -5.830203    -5.752793    114
0.786        -6.866403    -5.98984    -6.523846    -6.330191    -5.701856    -6.060079    -5.961586    84
0.803        -6.908311    -6.164143    -7.077104    -6.910138    -5.848425    -5.984445    -6.259937    84
0.82        -7.19037    -6.697754    -7.997528    -7.565167    -5.810755    -5.659012    -6.592172    100
0.836        -7.204133    -7.154414    -9.056328    -8.307132    -5.737997    -5.244274    -6.860991    138
0.853        -6.167903    -7.029442    -10.0063    -9.057995    -5.645971    -4.786565    -6.887605    188
0.87        -4.099632    -6.15297    -10.56456    -9.636678    -5.403897    -4.202131    -6.449728    210
0.886        -1.759896    -4.464828    -9.894728    -9.378167    -4.771769    -3.32362    -5.338047    212
0.903        -0.360511    -2.410377    -7.031811    -7.097279    -3.431448    -2.205084    -3.554352    202
0.919        0.06759537    -0.8057846    -3.055054    -3.262157    -1.489336    -0.8570044    -1.532967    134
0.936        0    0    0    0    0    0    0    20
0.953        0.1719909    0.3776439    1.130007    1.194319    0.3959053    0.10933229    0.728495    40
0.969        0.5383985    0.4691616    0.9401152    0.8176078    -0.1660641    -0.4845407    0.7052796    176
0.986        1.0123629    0.3868311    0.3465667    0.04473124    -0.7694051    -0.8519286    0.2918102    226
1.003        1.350678    -0.0823705    -1.075546    -1.356468    -1.374315    -0.9245988    -0.493932    212
1.019        0.8900442    -1.569234    -3.780086    -3.54078    -2.16473    -1.168371    -1.890768    184
1.036        -0.1648592    -4.003838    -7.863299    -6.900161    -3.585452    -1.919938    -4.037537    164
1.053        -1.267575    -6.683357    -12.64921    -11.42432    -5.891838    -3.349528    -6.763369    162
1.069        -2.242612    -8.916701    -17.04495    -16.33358    -8.901931    -5.510271    -9.695122    160
1.086        -3.76E+00    -1.09E+01    -2.06E+01    -2.07E+01    -1.17E+01    -7.25E+00    -1.26E+01    1.46E+02
